species,family,diet,bow,brw,aud,mob,hip
Anoura_geofroyi,phyllostomidae,herbivore,16,586,5.2,14.15,41.4
Artibeus_lituratus,phyllostomidae,herbivore,41,1016,7.21,34.38,54.9
Aselliscus_stoiczkanus,hipposideridae,gleaner,4.9,150,2.72,1.88,11.6
Brachyphylla_cavernarum,phyllostomidae,herbivore,44.5,1196,8.63,42.2,78.8
Cardioderma_cor,megadermatidae,hawker,26,670,10.81,8.07,32.3
Carollia_perspicillata,phyllostomidae,herbivore,17.8,546,5.27,23.55,40.75
Cheiromeles_torquatus,molossidae,hawker,167,1362,13.2,40.5,61.2
Chiroderma_villosum,phyllostomidae,herbivore,26.1,814,7.95,28.75,47.58
Coleura_afra,emballonuridae,hawker,11.5,257,4.08,3.98,12.4
Cormura_brevirostris,emballonuridae,hawker,8.2,219,4.37,2.28,11.2
Craseonycteris_thonglongyai,craseonycteridae,hawker,2.56,87,1.84,0.66,4.8
Cynopterus_sphinx,pteropodidae,herbivore,48.3,1184.33,4.77,65.27,95.4
Cyttarops_alecto,emballonuridae,hawker,5.3,175,3.51,0.74,7.96
Desmodus_rotundus,phyllostomidae,vampire,36.3,999,9.77,33,42.4
Diphylla_ecaudata,phyllostomidae,vampire,30.9,798,8.3,36.2,41
Dobsonia_praedatrix,pteropodidae,herbivore,184,3028,7.09,213.43,233.3
Eidolon_helvum,pteropodidae,herbivore,262,4290,12.77,208.7,258.1
Emballonura_monticola,emballonuridae,hawker,5.3,166,3.16,1.3,8.93
Eonycteris_spelaea,pteropodidae,herbivore,58.7,1310,5.48,67,97.7
Epomops_franqueti,pteropodidae,herbivore,120,2210,10.44,107.8,159.8
Furipterus_horrens,furipteridae,hawker,3.43,127,2.78,1.37,9.46
Glossophaga_soricina,phyllostomidae,herbivore,10.6,414,3.74,12.2,35
Hipposideros_commersoni,hipposideridae,gleaner,101.9,750,8.79,9.5,27.68
Kerivoula_papilosa,vespertilionidae,hawker,5.73,209.67,4.47,2.52,19.02
Lavia_frons,megadermatidae,hawker,23.4,644,10.92,4.35,25.8
Leptonycteris_curasoae,phyllostomidae,herbivore,24.5,610,5.57,18.6,44.95
Lionycteris_spurrelli,phyllostomidae,herbivore,9.9,393,3.71,10.3,29.5
Macroderma_gigas,megadermatidae,hawker,119.8,1704,22.36,21.6,68.9
Macroglossus_miniumus,pteropodidae,herbivore,14.6,561,2.4,30.05,52.95
Megaderma_spasma,megadermatidae,hawker,22.6,344,10.56,14.25,35.85
Micronycteris_brachyotis,phyllostomidae,herbivore,8.98,319,4.19,13.85,17.1
Mimon_crenulatum,phyllostomidae,herbivore,11.8,326,5.92,7.3,18.2
Miniopterus_medius,vespertilionidae,hawker,11.71,271.22,4.77,5.31,17.28
Molossops_abrasus,molossidae,hawker,19.35,301,5.38,6.93,15.87
Molossus_ater,molossidae,hawker,33.6,526,7.07,10.26,20.13
Mormoops_megalophylla,mormoopidae,hawker,15.7,386,4.19,6.66,27.5
Myotis_myotis,vespertilionidae,hawker,7,190,7.5,5.23,16.24
Natalus_tumidirostris,natalidae,hawker,6.9,245,3.28,3.58,27.1
Noctilio_albiventris,noctilionidae,hawker,32.7,597,11.59,13.54,36
Nycteris_thebaica,nycteridae,hawker,8.9,323,5.79,3.65,21.65
Nyctimene_albiventer,pteropodidae,herbivore,29.7,825,4.56,68.93,81.4
Otomops_martiensseni,molossidae,hawker,41.5,756,11.41,14.3,30.6
Peropteryx_trinitatus,emballonuridae,hawker,5,149.5,2.81,1.47,7.54
Phylloderma_stenops,phyllostomidae,herbivore,46.1,1338,10.2,87.4,91.7
Phyllostomus_haustatus,phyllostomidae,herbivore,90.1,1517,12.74,34.33,65.6
Pteronotus_parnelli,mormoopidae,gleaner,20.2,543,5.52,7.98,22.23
Pteropus_vampyrus,pteropodidae,herbivore,1014,9121,16.93,243.54,331.29
Rhinolophus_landeri,rhinolophidae,gleaner,6.3,208,4.88,4.83,20.89
Rhinophylla_pumilio,phyllostomidae,herbivore,8.9,356,4.57,18.8,30.3
Rhinopoma_hardwickei,rhinopomatidae,hawker,12.9,275,5.2,7.48,20.95
Rhynchonycteris_naso,emballonuridae,hawker,3.8,118,2.34,0.91,5.48
Rousettus_aegyptiacus,pteropodidae,herbivore,136.3,2070,9.88,105.77,125.97
Saccopteryx_leptura,emballonuridae,hawker,7.8,228,3.48,1.49,9.21
Sturnira_lilium,phyllostomidae,herbivore,20.2,618,4.77,30.77,49.73
Syconycteris_australis,pteropodidae,herbivore,14.7,570,2.13,31.4,53.1
Tadarida_condylura,molossidae,hawker,20.27,367.78,4.94,9.75,18.6
Taphozous_saccolaimus,emballonuridae,hawker,43,671,9.65,10.92,26.38
Tonatia_bidens,phyllostomidae,herbivore,27.67,684.67,13.37,17.96,28.3
Trachops_cirrhosus,phyllostomidae,herbivore,36.9,1003,16.34,23.5,50.6
Triaenops_persicus,hipposideridae,gleaner,13.7,271,4.07,5.22,17.4
Uroderma_bilobatum,phyllostomidae,herbivore,16.2,612,5.98,28.7,42.7
Platyrrhinus_vittatus,phyllostomidae,herbivore,22.6,791,11.56,29.22,52.46
Vampyrum_spectrum,phyllostomidae,herbivore,173,2587,27.6,92,110.4
