"species","common","date","lat","long","ocean","fork","d15n","tp"
"Thunnus alalunga","Albacore tuna","2002-10-10",-16.64,-150.79,"PO",91,15.17,7.32
"Thunnus alalunga","Albacore tuna","2004-16-09",-25.85,153.98,"PO",87,9.55,4.98
"Thunnus alalunga","Albacore tuna","2004-16-09",-25.85,153.98,"PO",99,9.48,4.95
"Thunnus alalunga","Albacore tuna","2004-20-09",-28.17,155.82,"PO",78,10.46,5.36
"Thunnus alalunga","Albacore tuna","2004-23-09",-28.37,160.13,"PO",76,12.23,6.1
"Thunnus alalunga","Albacore tuna","2004-23-09",-28.37,160.13,"PO",80,10.35,5.31
"Thunnus alalunga","Albacore tuna","2005-01-08",-27.82,155.43,"PO",84,11.4,5.75
"Thunnus alalunga","Albacore tuna","2005-03-09",-35.2,151.9,"PO",77,9.15,4.81
"Thunnus alalunga","Albacore tuna","2005-19-09",-35.77,151.77,"PO",81,10.66,5.44
"Thunnus alalunga","Albacore tuna","2006-13-06",-27,158,"PO",90,9.52,4.97
"Thunnus alalunga","Albacore tuna","2006-13-06",-27,158,"PO",86,9.85,5.1
"Thunnus alalunga","Albacore tuna","2006-13-06",-27,158,"PO",101,8.19,4.41
"Thunnus alalunga","Albacore tuna","2006-13-06",-27,158,"PO",98,8.64,4.6
"Thunnus alalunga","Albacore tuna","2006-13-06",-27,158,"PO",96,9.31,4.88
"Thunnus alalunga","Albacore tuna","2006-13-06",-27,158,"PO",96,8.84,4.68
"Thunnus alalunga","Albacore tuna","2006-13-06",-27,158,"PO",91,9.72,5.05
"Thunnus alalunga","Albacore tuna","2006-13-06",-27,158,"PO",86,9.3,4.88
"Thunnus alalunga","Albacore tuna","2006-13-06",-27,158,"PO",96,9.3,4.88
"Thunnus alalunga","Albacore tuna","2006-13-06",-27,158,"PO",87,10.31,5.3
"Thunnus alalunga","Albacore tuna","2006-13-06",-27,158,"PO",88,9.36,4.9
"Thunnus alalunga","Albacore tuna","2006-13-06",-27,158,"PO",92,10.01,5.17
"Thunnus alalunga","Albacore tuna","2006-13-06",-27,158,"PO",93,9.95,5.15
"Thunnus alalunga","Albacore tuna","2006-13-06",-27,158,"PO",93,9.61,5
"Thunnus alalunga","Albacore tuna","2006-13-06",-21,157,"PO",98,9.28,4.87
"Thunnus alalunga","Albacore tuna","2006-13-06",-21,157,"PO",104,8.85,4.69
"Thunnus alalunga","Albacore tuna","2006-13-06",-21,157,"PO",100,9.7,5.04
"Thunnus alalunga","Albacore tuna","2006-13-06",-21,157,"PO",100,9.7,5.04
"Thunnus alalunga","Albacore tuna","2006-13-06",-21,157,"PO",100,9.15,4.81
"Thunnus alalunga","Albacore tuna","2006-13-06",-21,157,"PO",90,9.21,4.84
"Thunnus alalunga","Albacore tuna","2006-13-06",-21,157,"PO",94,9.47,4.95
"Thunnus alalunga","Albacore tuna","2006-13-06",-21,157,"PO",105,9.76,5.07
"Thunnus alalunga","Albacore tuna","2006-13-06",-21,157,"PO",90,9.33,4.89
"Thunnus alalunga","Albacore tuna","2006-13-06",-21,157,"PO",98,9.82,5.09
"Thunnus alalunga","Albacore tuna","2006-13-06",-21,157,"PO",96,10.51,5.38
"Thunnus alalunga","Albacore tuna","2006-04-08",-36.42,150.77,"PO",NA,8.74,4.64
"Thunnus albacares","Yellowfin tuna","2004-04-07",-33.68,152.72,"PO",127,11.49,5.79
"Thunnus albacares","Yellowfin tuna","2004-01-08",-35.05,151.93,"PO",125,10.86,5.53
"Thunnus albacares","Yellowfin tuna","2004-16-09",-25.85,153.98,"PO",109,8.41,4.5
"Thunnus albacares","Yellowfin tuna","2004-16-09",-25.85,153.98,"PO",109,8.23,4.43
"Thunnus albacares","Yellowfin tuna","2004-19-09",-27.95,155.62,"PO",NA,8.53,4.55
"Thunnus albacares","Yellowfin tuna","2004-20-09",-28.17,155.82,"PO",114,8.17,4.4
"Thunnus albacares","Yellowfin tuna","2004-23-09",-28.37,160.13,"PO",112,6.63,3.76
"Thunnus albacares","Yellowfin tuna","2004-23-09",-28.37,160.13,"PO",128,7.65,4.19
"Thunnus albacares","Yellowfin tuna","2005-22-07",-32.38,153.58,"PO",111,9.12,4.8
"Thunnus albacares","Yellowfin tuna","2005-25-08",-35.12,151.57,"PO",127,10.19,5.25
"Thunnus albacares","Yellowfin tuna","2005-25-08",-35.12,151.57,"PO",129,9.75,5.06
"Thunnus albacares","Yellowfin tuna","2005-25-08",-35.12,151.57,"PO",91,8.48,4.53
"Thunnus albacares","Yellowfin tuna","2005-25-08",-35.12,151.57,"PO",124,10.83,5.51
"Thunnus albacares","Yellowfin tuna","2005-25-08",-35.12,151.57,"PO",119,9.84,5.1
"Thunnus albacares","Yellowfin tuna","2005-25-08",-35.12,151.57,"PO",124,10.11,5.21
"Thunnus albacares","Yellowfin tuna","2005-25-08",-35.12,151.57,"PO",136,9.95,5.15
"Thunnus albacares","Yellowfin tuna","2005-25-08",-35.12,151.57,"PO",133,10.39,5.33
"Thunnus albacares","Yellowfin tuna","2005-25-08",-35.12,151.57,"PO",130,9.67,5.03
"Thunnus albacares","Yellowfin tuna","2005-25-08",-35.12,151.57,"PO",125,10.8,5.5
"Thunnus albacares","Yellowfin tuna","2005-25-08",-35.12,151.57,"PO",126,10.97,5.57
"Thunnus albacares","Yellowfin tuna","2005-25-08",-35.12,151.57,"PO",132,10.17,5.24
"Thunnus albacares","Yellowfin tuna","2005-25-08",-35.12,151.57,"PO",141,9.87,5.11
"Thunnus albacares","Yellowfin tuna","2005-25-08",-35.12,151.57,"PO",120,10.24,5.27
"Thunnus albacares","Yellowfin tuna","2005-25-08",-35.12,151.57,"PO",133,10.58,5.41
"Thunnus albacares","Yellowfin tuna","2005-25-08",-35.12,151.57,"PO",130,10.24,5.27
"Thunnus albacares","Yellowfin tuna","2005-25-08",-35.12,151.57,"PO",76,8.9,4.71
"Thunnus albacares","Yellowfin tuna","2005-25-08",-35.12,151.57,"PO",112,10.59,5.41
"Thunnus albacares","Yellowfin tuna","2005-25-08",-35.12,151.57,"PO",80,10.39,5.33
"Thunnus albacares","Yellowfin tuna","2005-25-08",-35.12,151.57,"PO",114,10.27,5.28
"Thunnus albacares","Yellowfin tuna","2005-25-08",-35.12,151.57,"PO",131,10.75,5.48
"Thunnus albacares","Yellowfin tuna","2005-25-08",-35.12,151.57,"PO",141,11,5.58
"Thunnus albacares","Yellowfin tuna","2005-26-08",-34.97,151.65,"PO",134,10.21,5.25
"Thunnus albacares","Yellowfin tuna","2005-26-08",-34.97,151.65,"PO",141,9.95,5.15
"Thunnus albacares","Yellowfin tuna","2005-26-08",-34.97,151.65,"PO",127,10.42,5.34
"Thunnus albacares","Yellowfin tuna","2005-26-08",-34.97,151.65,"PO",137,10.02,5.18
"Thunnus albacares","Yellowfin tuna","2005-26-08",-34.97,151.65,"PO",150,10.09,5.2
"Thunnus albacares","Yellowfin tuna","2005-26-08",-34.97,151.65,"PO",129,9.12,4.8
"Thunnus albacares","Yellowfin tuna","2005-26-08",-34.97,151.65,"PO",130,10.8,5.5
"Thunnus albacares","Yellowfin tuna","2005-26-08",-34.97,151.65,"PO",128,10.71,5.46
"Thunnus albacares","Yellowfin tuna","2006-10-07",-36.33,151.35,"PO",104,10.86,5.53
"Thunnus albacares","Yellowfin tuna","2006-10-07",-36.33,151.35,"PO",98,9.67,5.03
"Thunnus albacares","Yellowfin tuna","2006-10-07",-36.33,151.35,"PO",102,10.73,5.47
"Thunnus albacares","Yellowfin tuna","2006-13-08",-36.76,150.39,"PO",99,10.21,5.25
"Thunnus obesus","Bigeye tuna","2002-07-10",-16.06,-151.39,"PO",71,17.64,8.35
"Thunnus obesus","Bigeye tuna","2003-16-02",-13.23,-147.39,"PO",100,14.78,7.16
"Thunnus obesus","Bigeye tuna","2004-29-07",-25.83,154.53,"PO",116,11.58,5.82
"Thunnus obesus","Bigeye tuna","2004-17-09",-26.43,153.93,"PO",91,10.93,5.55
"Thunnus obesus","Bigeye tuna","2004-23-09",-28.37,160.13,"PO",104,10.49,5.37
"Thunnus obesus","Bigeye tuna","2005-25-08",-35.12,151.57,"PO",70,9.83,5.1
"Thunnus obesus","Bigeye tuna","2005-26-08",-34.97,151.65,"PO",113,10.65,5.44
"Thunnus obesus","Bigeye tuna","2005-26-08",-34.97,151.65,"PO",109,9.97,5.15
"Thunnus obesus","Bigeye tuna","2005-26-08",-34.97,151.65,"PO",115,10.36,5.32
"Thunnus obesus","Bigeye tuna","2005-26-08",-34.97,151.65,"PO",118,11.12,5.63
"Thunnus obesus","Bigeye tuna","2005-26-08",-34.97,151.65,"PO",112,11.61,5.84
"Thunnus obesus","Bigeye tuna","2005-02-09",-35.55,153.02,"PO",115,10.51,5.38
"Thunnus alalunga","Albacore tuna","2001-26-09",-20.12,162.06,"PO",94,7.99,4.33
"Thunnus alalunga","Albacore tuna","2002-26-09",-14.15,-148.91,"PO",106,10.39,5.33
"Thunnus alalunga","Albacore tuna","2002-26-09",-14.15,-148.91,"PO",109,11.2,5.67
"Thunnus alalunga","Albacore tuna","2002-27-09",-14.16,-148.91,"PO",112,10.41,5.34
"Thunnus alalunga","Albacore tuna","2002-27-09",-14.16,-148.91,"PO",101,10.01,5.17
"Thunnus alalunga","Albacore tuna","2002-28-09",-14.11,-148.83,"PO",99,13.75,6.73
"Thunnus alalunga","Albacore tuna","2002-29-09",-14.17,-149,"PO",92,8.92,4.72
"Thunnus alalunga","Albacore tuna","2002-29-09",-14.17,-149,"PO",102,10.09,5.2
"Thunnus alalunga","Albacore tuna","2002-30-09",-14.24,-148.36,"PO",99,10.41,5.34
"Thunnus alalunga","Albacore tuna","2002-30-09",-14.24,-148.36,"PO",101,8.03,4.35
"Thunnus alalunga","Albacore tuna","2002-07-10",-16.06,-151.39,"PO",105,14.78,7.16
"Thunnus alalunga","Albacore tuna","2002-07-10",-16.06,-151.39,"PO",102,18.31,8.63
"Thunnus alalunga","Albacore tuna","2002-09-10",-16.05,-151.47,"PO",102,13.09,6.45
"Thunnus alalunga","Albacore tuna","2002-09-10",-16.05,-151.47,"PO",96,17.99,8.5
"Thunnus alalunga","Albacore tuna","2002-10-10",-16.64,-150.79,"PO",96,12.4,6.17
"Thunnus alalunga","Albacore tuna","2002-07-07",-20.96,163.99,"PO",94,9.5,4.96
"Thunnus alalunga","Albacore tuna","2002-08-07",-20.73,163.74,"PO",103,8.35,4.48
"Thunnus alalunga","Albacore tuna","2002-08-07",-20.73,163.74,"PO",94,8.43,4.51
"Thunnus alalunga","Albacore tuna","2002-09-07",-20.46,163.09,"PO",99,8.73,4.64
"Thunnus alalunga","Albacore tuna","2002-09-07",-20.46,163.09,"PO",84,10.88,5.53
"Thunnus alalunga","Albacore tuna","2002-10-07",-20.39,162.42,"PO",97,8.86,4.69
"Thunnus alalunga","Albacore tuna","2002-10-07",-20.39,162.42,"PO",91,8.87,4.7
"Thunnus alalunga","Albacore tuna","2002-11-07",-20.25,162.54,"PO",102,9.02,4.76
"Thunnus alalunga","Albacore tuna","2002-11-07",-20.25,162.54,"PO",98,8.63,4.6
"Thunnus alalunga","Albacore tuna","2002-12-07",-20.31,162.64,"PO",93,8.18,4.41
"Thunnus alalunga","Albacore tuna","2002-12-07",-20.31,162.64,"PO",99,9.32,4.88
"Thunnus alalunga","Albacore tuna","2002-13-07",-20.24,162.71,"PO",92,7.53,4.14
"Thunnus alalunga","Albacore tuna","2002-23-11",-15.07,-148.63,"PO",101,14.99,7.25
"Thunnus alalunga","Albacore tuna","2002-28-11",-15.23,-149.45,"PO",NA,15.89,7.62
"Thunnus alalunga","Albacore tuna","2002-28-11",-15.23,-149.45,"PO",66,14.76,7.15
"Thunnus alalunga","Albacore tuna","2002-27-07",-21.19,162.52,"PO",86,10.89,5.54
"Thunnus alalunga","Albacore tuna","2002-30-07",-20.7,161.68,"PO",85,10.64,5.43
"Thunnus alalunga","Albacore tuna","2002-30-07",-20.7,161.68,"PO",86,10.46,5.36
"Thunnus alalunga","Albacore tuna","2002-01-08",-20.99,162.19,"PO",84,11.14,5.64
"Thunnus alalunga","Albacore tuna","2002-01-08",-20.99,162.19,"PO",84,10.61,5.42
"Thunnus alalunga","Albacore tuna","2002-17-10",-10.9,149.78,"PO",93,7.48,4.12
"Thunnus alalunga","Albacore tuna","2002-17-10",-10.9,149.78,"PO",99,6.62,3.76
"Thunnus alalunga","Albacore tuna","2002-18-10",-10.97,150.15,"PO",85,8.93,4.72
"Thunnus alalunga","Albacore tuna","2002-18-10",-10.97,150.15,"PO",99,7.06,3.94
"Thunnus alalunga","Albacore tuna","2002-19-10",-10.83,149.91,"PO",88,8,4.33
"Thunnus alalunga","Albacore tuna","2002-19-10",-10.83,149.91,"PO",95,6.92,3.88
"Thunnus alalunga","Albacore tuna","2003-18-01",-13.67,-146.09,"PO",98,13.51,6.63
"Thunnus alalunga","Albacore tuna","2003-19-01",-18.21,161.24,"PO",97,8.81,4.67
"Thunnus alalunga","Albacore tuna","2003-19-01",-18.21,161.24,"PO",95,9.35,4.9
"Thunnus alalunga","Albacore tuna","2003-19-01",-13.98,-146.82,"PO",99,10.37,5.32
"Thunnus alalunga","Albacore tuna","2003-19-01",-13.98,-146.82,"PO",92,10.68,5.45
"Thunnus alalunga","Albacore tuna","2003-19-01",-13.98,-146.82,"PO",98,9.45,4.94
"Thunnus alalunga","Albacore tuna","2003-19-01",-13.98,-146.82,"PO",97,12.28,6.12
"Thunnus alalunga","Albacore tuna","2003-19-01",-13.98,-146.82,"PO",98,12.35,6.15
"Thunnus alalunga","Albacore tuna","2003-19-01",-13.98,-146.82,"PO",91,12.33,6.14
"Thunnus alalunga","Albacore tuna","2003-19-01",-13.98,-146.82,"PO",98,10.41,5.34
"Thunnus alalunga","Albacore tuna","2003-20-01",-19,160.24,"PO",96,9.15,4.81
"Thunnus alalunga","Albacore tuna","2003-20-01",-19,160.24,"PO",103,8.74,4.64
"Thunnus alalunga","Albacore tuna","2003-21-01",-19.18,160.23,"PO",98,8.46,4.53
"Thunnus alalunga","Albacore tuna","2003-21-01",-19.18,160.23,"PO",97,8.62,4.59
"Thunnus alalunga","Albacore tuna","2003-22-01",-20.4,159.99,"PO",95,9.15,4.81
"Thunnus alalunga","Albacore tuna","2003-23-01",-20.55,159.9,"PO",92,9.69,5.04
"Thunnus alalunga","Albacore tuna","2003-23-01",-20.55,159.9,"PO",96,11.23,5.68
"Thunnus alalunga","Albacore tuna","2003-14-02",-13.12,-148.28,"PO",95,10.36,5.32
"Thunnus alalunga","Albacore tuna","2003-14-02",-13.12,-148.28,"PO",95,14.21,6.92
"Thunnus alalunga","Albacore tuna","2003-15-02",-13.1,-147.76,"PO",96,7.66,4.19
"Thunnus alalunga","Albacore tuna","2003-15-02",-13.1,-147.76,"PO",96,9.9,5.12
"Thunnus alalunga","Albacore tuna","2003-16-02",-13.23,-147.39,"PO",94,14.33,6.97
"Thunnus alalunga","Albacore tuna","2003-16-02",-13.23,-147.39,"PO",94,14.02,6.84
"Thunnus alalunga","Albacore tuna","2003-19-02",-13.33,-144,"PO",99,14.3,6.96
"Thunnus alalunga","Albacore tuna","2003-19-02",-13.33,-144,"PO",94,10.52,5.38
"Thunnus alalunga","Albacore tuna","2003-21-02",-13.17,-143.07,"PO",93,9.42,4.93
"Thunnus alalunga","Albacore tuna","2003-21-02",-13.17,-143.07,"PO",92,11.31,5.71
"Thunnus alalunga","Albacore tuna","2004-20-10",-11.75,163.39,"PO",84,10.78,5.49
"Thunnus alalunga","Albacore tuna","2004-20-10",-11.75,163.39,"PO",89,12.74,6.31
"Thunnus alalunga","Albacore tuna","2004-22-10",-11.77,163.27,"PO",89,11.1,5.62
"Thunnus alalunga","Albacore tuna","2004-22-10",-11.77,163.27,"PO",92,10.06,5.19
"Thunnus alalunga","Albacore tuna","2005-31-05",-10.28,-176.1,"PO",101,8.96,4.73
"Thunnus alalunga","Albacore tuna","2005-03-06",-10.13,-175.92,"PO",102,12.26,6.11
"Thunnus alalunga","Albacore tuna","2005-05-06",-10.05,-175.98,"PO",101,9.86,5.11
"Thunnus alalunga","Albacore tuna","2005-12-06",-9.92,-176.15,"PO",98,9.33,4.89
"Thunnus alalunga","Albacore tuna","2005-14-06",-10.17,-176.6,"PO",88,10.59,5.41
"Thunnus alalunga","Albacore tuna","2005-16-06",-10.57,-177.02,"PO",101,11.22,5.68
"Thunnus alalunga","Albacore tuna","2005-19-06",-12.28,-177.92,"PO",101,11.86,5.94
"Thunnus alalunga","Albacore tuna","2005-19-06",-12.28,-177.92,"PO",100,10.83,5.51
"Thunnus alalunga","Albacore tuna","2005-21-06",-13.98,-178.17,"PO",102,10.86,5.53
"Thunnus alalunga","Albacore tuna","2005-21-06",-13.98,-178.17,"PO",103,12.96,6.4
"Thunnus alalunga","Albacore tuna","2005-28-09",-13.39,174.25,"PO",NA,10.69,5.45
"Thunnus albacares","Yellowfin tuna","2001-08-05",3.54,166.42,"PO",123,12.33,6.14
"Thunnus albacares","Yellowfin tuna","2001-08-05",3.54,166.42,"PO",66,12.48,6.2
"Thunnus albacares","Yellowfin tuna","2001-08-05",3.54,166.42,"PO",69,12.03,6.01
"Thunnus albacares","Yellowfin tuna","2001-08-05",3.54,166.42,"PO",49,11.1,5.62
"Thunnus albacares","Yellowfin tuna","2001-08-05",3.54,166.42,"PO",67,13.28,6.53
"Thunnus albacares","Yellowfin tuna","2001-08-05",3.54,166.42,"PO",59,10.77,5.49
"Thunnus albacares","Yellowfin tuna","2001-08-05",3.54,166.42,"PO",55,11.67,5.86
"Thunnus albacares","Yellowfin tuna","2001-09-05",3.61,166.16,"PO",53,13.24,6.52
"Thunnus albacares","Yellowfin tuna","2001-09-05",3.61,166.16,"PO",68,12.43,6.18
"Thunnus albacares","Yellowfin tuna","2001-09-05",3.61,166.16,"PO",68,13.51,6.63
"Thunnus albacares","Yellowfin tuna","2001-09-05",3.61,166.16,"PO",63,11.5,5.79
"Thunnus albacares","Yellowfin tuna","2001-09-05",3.61,166.16,"PO",49,11.73,5.89
"Thunnus albacares","Yellowfin tuna","2001-09-05",3.61,166.16,"PO",64,11.16,5.65
"Thunnus albacares","Yellowfin tuna","2001-09-05",4.21,166.8,"PO",158,10.55,5.4
"Thunnus albacares","Yellowfin tuna","2002-26-09",-14.15,-148.91,"PO",63,11.51,5.8
"Thunnus albacares","Yellowfin tuna","2002-30-09",-14.24,-148.36,"PO",151,17.2,8.17
"Thunnus albacares","Yellowfin tuna","2002-30-09",-14.24,-148.36,"PO",133,8.21,4.42
"Thunnus albacares","Yellowfin tuna","2002-08-10",-16.05,-151.53,"PO",124,17.56,8.32
