"trial","repl","strain","treat","dose","y","categ"
1,1,"N2","Control",418.3225267,1,"Control"
1,1,"N2","Control",418.3225267,1,"Control"
1,2,"N2","Control",418.3225267,1,"Control"
1,3,"N2","Control",418.3225267,1,"Control"
1,3,"N2","Control",418.3225267,1,"Control"
1,3,"N2","Control",418.3225267,1,"Control"
1,4,"N2","Control",418.3225267,1,"Control"
1,4,"N2","Control",418.3225267,1,"Control"
1,5,"N2","Control",418.3225267,1,"Control"
1,5,"N2","Control",418.3225267,1,"Control"
1,5,"N2","Control",418.3225267,1,"Control"
1,5,"N2","Control",418.3225267,1,"Control"
1,6,"N2","Control",418.3225267,1,"Control"
1,6,"N2","Control",418.3225267,1,"Control"
1,6,"N2","Control",418.3225267,1,"Control"
1,7,"N2","Control",418.3225267,1,"Control"
1,7,"N2","Control",418.3225267,1,"Control"
1,7,"N2","Control",418.3225267,1,"Control"
1,7,"N2","Control",418.3225267,1,"Control"
1,7,"N2","Control",418.3225267,1,"Control"
1,7,"N2","Control",418.3225267,1,"Control"
1,7,"N2","Control",418.3225267,1,"Control"
1,8,"N2","Control",418.3225267,1,"Control"
1,8,"N2","Control",418.3225267,1,"Control"
1,8,"N2","Control",418.3225267,1,"Control"
1,9,"N2","Control",418.3225267,1,"Control"
1,10,"N2","Control",418.3225267,1,"Control"
1,10,"N2","Control",418.3225267,1,"Control"
1,10,"N2","Control",418.3225267,1,"Control"
1,10,"N2","Control",418.3225267,1,"Control"
1,10,"N2","Control",418.3225267,1,"Control"
1,10,"N2","Control",418.3225267,1,"Control"
1,1,"N2","EColi",418.3225267,1,"Beneficial"
1,1,"N2","EColi",418.3225267,1,"Beneficial"
1,1,"N2","EColi",418.3225267,1,"Beneficial"
1,2,"N2","EColi",418.3225267,1,"Beneficial"
1,2,"N2","EColi",418.3225267,1,"Beneficial"
1,2,"N2","EColi",418.3225267,1,"Beneficial"
1,3,"N2","EColi",418.3225267,1,"Beneficial"
1,3,"N2","EColi",418.3225267,1,"Beneficial"
1,3,"N2","EColi",418.3225267,1,"Beneficial"
1,3,"N2","EColi",418.3225267,1,"Beneficial"
1,3,"N2","EColi",418.3225267,1,"Beneficial"
1,3,"N2","EColi",418.3225267,1,"Beneficial"
1,4,"N2","EColi",418.3225267,1,"Beneficial"
1,4,"N2","EColi",418.3225267,1,"Beneficial"
1,5,"N2","EColi",418.3225267,1,"Beneficial"
1,5,"N2","EColi",418.3225267,1,"Beneficial"
1,5,"N2","EColi",418.3225267,1,"Beneficial"
1,5,"N2","EColi",418.3225267,1,"Beneficial"
1,5,"N2","EColi",418.3225267,1,"Beneficial"
1,6,"N2","EColi",418.3225267,1,"Beneficial"
1,7,"N2","EColi",418.3225267,1,"Beneficial"
1,7,"N2","EColi",418.3225267,1,"Beneficial"
1,7,"N2","EColi",418.3225267,1,"Beneficial"
1,7,"N2","EColi",418.3225267,1,"Beneficial"
1,8,"N2","EColi",418.3225267,1,"Beneficial"
1,8,"N2","EColi",418.3225267,1,"Beneficial"
1,9,"N2","EColi",418.3225267,1,"Beneficial"
1,9,"N2","EColi",418.3225267,1,"Beneficial"
1,9,"N2","EColi",418.3225267,1,"Beneficial"
1,9,"N2","EColi",418.3225267,1,"Beneficial"
1,9,"N2","EColi",418.3225267,1,"Beneficial"
1,9,"N2","EColi",418.3225267,1,"Beneficial"
1,10,"N2","EColi",418.3225267,1,"Beneficial"
1,10,"N2","EColi",418.3225267,1,"Beneficial"
1,10,"N2","EColi",418.3225267,1,"Beneficial"
1,10,"N2","EColi",418.3225267,1,"Beneficial"
1,10,"N2","EColi",418.3225267,1,"Beneficial"
1,10,"N2","EColi",418.3225267,1,"Beneficial"
1,10,"N2","EColi",418.3225267,1,"Beneficial"
1,10,"N2","EColi",418.3225267,1,"Beneficial"
1,10,"N2","EColi",418.3225267,1,"Beneficial"
1,10,"N2","EColi",418.3225267,1,"Beneficial"
1,1,"N2","Providencia",383.3474676,1,"Beneficial"
1,1,"N2","Providencia",383.3474676,1,"Beneficial"
1,1,"N2","Providencia",383.3474676,1,"Beneficial"
1,1,"N2","Providencia",383.3474676,1,"Beneficial"
1,2,"N2","Providencia",383.3474676,1,"Beneficial"
1,2,"N2","Providencia",383.3474676,1,"Beneficial"
1,2,"N2","Providencia",383.3474676,1,"Beneficial"
1,2,"N2","Providencia",383.3474676,1,"Beneficial"
1,2,"N2","Providencia",383.3474676,1,"Beneficial"
1,3,"N2","Providencia",383.3474676,1,"Beneficial"
