"spp","order","diet","sex","len","sa_stom","sa_si","sa_caec","sa_col","vol_stom","vol_si","vol_caec","vol_col"
"Allouatta_seniculus","Primates","Frugivore","m",61,180,1106,150,578,227,556,163,422
"Alouatta_pulliata","Primates","Frugivore","m",51,430,1052,289,1059,839,534,391,959
"Alouatta_pulliata","Primates","Foliovore","m",50,230,719,148,630,328,302,143,471
"Alouatta_pulliata","Primates","Foliovore","f",53,296,815,156,778,479,339,138,642
"Anomalurus","Rodentia","Frugivore",NA,24,10,216,90,93,3,34,22,11
"Aotus","Primates","Frugivore","f",28,84,288,47,120,72,61,22,37
"Arctocebus","Primates","Frugivore","m",22,14,146,10,29,5,21,1,3
"Arctocebus","Primates","Frugivore","m",22,30,126,9,36,15,18,1,7
"Arctocebus","Primates","Frugivore","f",22,24,110,10,38,11,15,1,5
"Arctocebus","Primates","Frugivore","m",21,26,111,10,41,13,17,2,6
"Arctocebus","Primates","Frugivore","m",21,12,88,6,29,4,11,1,4
"Arctocebus","Primates","Foliovore","m",24,34,337,165,165,19,39,87,26
"Ateles","Primates","Frugivore","f",53,172,765,101,232,202,252,54,95
"Atilax","Carnivora","Faunivore","f",45,70,575,9,74,55,124,4,21
"Avahi","Primates","Frugivore","m",25,26,309,107,95,39,43,40,12
"Avahi","Primates","Frugivore","f",25,76,335,186,255,62,43,72,54
"Avahi","Primates","Frugivore","m",21,23,94,4,22,10,11,1,4
"Avahi","Primates","Frugivore","m",22,28,143,5,51,14,15,1,10
"Bradypus","Pilosa","Foliovore",NA,46,601,411,52,262,986,97,23,88
"Canis","Carnivora","Frugivore","m",78,300,1030,40,225,190,238,16,90
"Canis","Carnivora","Frugivore","m",59,215,585,30,125,297,102,8,43
"Canis","Carnivora","Frugivore","f",60,426,992,37,208,826,253,11,75
"Canis","Carnivora","Frugivore","f",58,196,562,25,75,258,136,10,20
"Canis","Carnivora","Frugivore","f",81,344,1445,40,192,599,483,18,61
"Canis","Carnivora","Frugivore","f",48,162,776,20,135,194,196,5,54
"Capra","Artiodactyla","Foliovore","m",127,31297,8967,300,2250,16220,2924,286,2432
"Capra","Artiodactyla","Foliovore","m",145,36475,11948,437,3210,20878,4277,282,3339
"Capra","Artiodactyla","Foliovore","m",84,15029,6102,275,686,6317,1747,273,592
"Capra","Artiodactyla","Foliovore","m",82,13195,4901,187,671,5086,1208,164,467
"Cebus_capucinus","Primates","Faunivore","f",39,111,852,2,20,121,111,15,74
"Cebus_griseus","Primates","Faunivore","m",40,68,462,4,38,53,106,6,6
"Cebus_griseus","Primates","Faunivore","f",40,48,519,4,38,31,134,5,6
"Cebus_griseus","Primates","Faunivore","m",41,200,915,184,490,266,447,117,281
"Cercocebus","Primates","Frugivore","f",55,124,559,69,977,130,152,54,799
"Cercocebus","Primates","Frugivore","f",51,91,657,67,580,82,189,51,268
"Cercocebus","Primates","Frugivore","m",47,88,453,20,374,78,108,8,164
"Cercopithecus_aethiops","Primates","Frugivore","m",37,34,169,13,143,19,17,3,35
"Cercopithecus_aethiops","Primates","Frugivore","f",40,14,234,31,105,5,42,15,25
"Cercopithecus_cephus","Primates","Frugivore","f",42,187,784,76,371,240,218,46,192
"Cercopithecus_cephus","Primates","Frugivore","m",49,70,446,45,325,55,71,18,129
"Cercopithecus_cephus","Primates","Frugivore","f",41,144,582,60,458,163,107,48,220
"Cercopithecus_cephus","Primates","Frugivore","m",54,155,1008,56,877,181,321,83,572
"Cercopithecus_neglectus","Primates","Frugivore","f",46,206,710,83,827,278,260,69,605
"Cercopithecus_neglectus","Primates","Frugivore","f",46,144,556,69,728,163,132,47,444
"Cercopithecus_neglectus","Primates","Frugivore","m",58,289,1382,77,982,460,448,43,518
"Cercopithecus_nictitans","Primates","Frugivore","m",57,99,760,87,654,93,195,75,340
"Cercopithecus_nictitans","Primates","Frugivore","f",47,73,763,65,563,59,179,48,280
"Cercopithecus_nictitans","Primates","Frugivore","m",58,177,798,95,753,221,214,80,410
"Cercopithecus_nictitans","Primates","Frugivore","m",59,120,927,80,816,124,225,57,441
"Cheirogaleus","Primates","Frugivore","f",23,20,162,7,33,9,18,1,7
"Cheirogaleus","Primates","Frugivore","f",23,40,192,10,25,24,26,2,4
"Cheirogaleus","Primates","Frugivore","m",21,35,213,6,45,19,31,2,9
"Cheirogaleus","Primates","Frugivore","f",17,13,42,41,116,4,5,5,22
"Colubus","Primates","Foliovore","f",56,1021,556,26,549,2033,107,13,218
"Colubus","Primates","Foliovore","f",58,1056,923,13,630,2162,184,6,301
"Dendrohyrax","Hyracoidea","Foliovore",NA,40,114,311,350,335,81,48,196,74
"Dendrohyrax","Hyracoidea","Foliovore","f",39,140,456,482,572,110,73,331,169
"Dendrohyrax","Hyracoidea","Foliovore",NA,38,120,391,393,549,86,53,14,129
"Dendrohyrax","Hyracoidea","Foliovore","f",31,143,315,275,304,114,55,8,80
"Dendrohyrax","Hyracoidea","Foliovore","m",44,126,588,362,594,94,131,20,156
"Eidolon","Chiroptera","Frugivore","f",14,9,46,5,30,3,4,1,3
"Epixerus","Rodentia","Frugivore","m",24,30,201,21,52,16,22,5,6
"Epixerus","Rodentia","Frugivore","f",23,48,216,21,68,31,26,6,12
"Equus","Perissodactyla","Foliovore","m",157,728,10991,9240,675,1847,6207,28296,50551
"Euoticus","Primates","Frugivore","m",18,19,41,40,123,8,5,6,26
"Euoticus","Primates","Frugivore","m",19,12,30,36,129,4,3,6,21
"Euoticus","Primates","Frugivore","f",18,15,36,33,128,6,4,3,27
"Euoticus","Primates","Frugivore","f",19,20,85,8,51,8,11,2,9
"Felis","Carnivora","Faunivore","m",45,144,345,8,125,163,60,2,48
"Felis","Carnivora","Faunivore","f",40,104,249,7,87,100,36,1,25
"Felis","Carnivora","Faunivore","m",43,120,372,9,123,124,71,2,40
"Felis","Carnivora","Faunivore","f",42,106,348,12,148,102,75,3,62
"Felis","Carnivora","Faunivore","f",42,132,374,11,130,143,86,3,52
"Felis","Carnivora","Faunivore","m",46,117,291,8,111,119,41,2,36
"Funisciurus_anerythrus","Rodentia","Frugivore",NA,24,16,161,15,30,6,18,4,16
"Funisciurus_pyrrhopus","Rodentia","Faunivore",NA,26,18,268,16,48,7,25,3,7
"Galago_alleni","Primates","Frugivore","f",18,21,112,8,50,9,13,1,6
"Galago_alleni","Primates","Frugivore","f",18,16,112,9,33,6,17,2,4
"Galago_alleni","Primates","Frugivore","m",17,37,144,21,78,21,23,4,16
"Galago_alleni","Primates","Frugivore","m",11,6,24,3,5,2,1,0,0
"Galago_demidovii","Primates","Frugivore","m",11,5,36,4,12,1,2,0,1
"Galago_demidovii","Primates","Frugivore","m",12,5,34,5,14,1,2,0,1
"Galago_demidovii","Primates","Frugivore","m",13,7,59,3,16,2,5,1,1
"Genetta","Carnivora","Faunivore",NA,50,63,274,2,48,47,42,3,15
"Heliosciurus","Rodentia","Frugivore","m",20,51,190,48,63,34,25,11,8
"Hylobates_lar","Primates","Faunivore","m",40,204,453,15,383,274,154,3,259
"Hylobates_lar","Primates","Faunivore","f",40,104,268,6,403,100,68,2,267
"Hylobates_pileatus","Primates","Frugivore","f",47,304,592,77,1128,499,596,34,920
"Hylobates_syndactylus","Primates","Frugivore","f",52,457,2278,75,1557,919,1007,34,1891
"Hylobates_syndactylus","Primates","Frugivore","m",56,140,1708,81,954,156,697,58,883
"Lagothris","Primates","Frugivore","f",59,264,2113,181,660,403,757,113,289
"Lagothris","Primates","Frugivore","m",56,488,1796,293,699,1014,693,228,442
"Leontocebus","Primates","Frugivore","m",25,13,116,6,23,4,19,1,3
"Lepilemur_leucopus","Primates","Foliovore","m",24,52,106,137,213,35,16,43,49
"Lepilemur_mustelinus","Primates","Foliovore","f",26,45,68,174,166,28,11,81,35
"Loris","Primates","Frugivore",NA,22,19,85,4,42,8,10,3,6
"Macaca_fascicularis","Primates","Frugivore","m",37,143,1011,28,693,160,346,8,364
"Macaca_fascicularis","Primates","Frugivore","m",40,306,918,29,659,502,268,8,320
"Macaca_fascicularis","Primates","Frugivore","f",40,178,1144,67,866,223,390,40,568
"Macaca_mulatta","Primates","Frugivore",NA,39,77,618,81,377,64,160,47,123
"Macaca_sinica","Primates","Frugivore","f",42,226,587,62,772,320,185,51,558
"Macaca_sinica","Primates","Frugivore","m",47,122,368,25,310,127,191,9,125
"Macaca_sylvana","Primates","Frugivore","f",51,270,1187,72,1323,416,434,46,954
"Macaca_sylvana","Primates","Frugivore","f",38,180,795,59,826,226,222,31,503
"Manis_gigantea","Pholidota","Faunivore","m",23,39,615,14,50,23,73,4,10
"Manis_tricuspis","Pholidota","Frugivore",NA,28,189,517,20,1434,245,85,6,55
"Microcebus","Primates","Frugivore",NA,11,5,32,2,6,1,2,1,2
"Miopithecus","Primates","Frugivore","m",38,59,451,40,212,43,96,16,76
"Miopithecus","Primates","Frugivore","f",28,64,594,30,258,48,142,12,106
"Miopithecus","Primates","Frugivore","f",30,59,157,26,214,43,14,18,81
"Miopithecus","Primates","Frugivore","f",29,44,149,25,87,27,18,12,20
"Miopithecus","Primates","Frugivore","m",24,49,231,12,122,32,34,4,32
