uocc,loc,year,doy
occ_001,RV_01_16345,2017,54
occ_002,RV_01_240,2006,25
occ_003,RV_01_241,2003,33
occ_004,RV_01_242,2002,292
occ_005,RV_01_243,2002,12
occ_006,RV_01_244,2007,16
occ_007,RV_01_244,2013,338
occ_008,RV_01_244,2013,99
occ_009,RV_01_244,2014,157
occ_010,RV_01_244,2015,133
occ_011,RV_01_244,2016,125
occ_012,RV_01_244,2017,107
occ_013,RV_01_244,2018,101
occ_014,RV_01_245,2001,351
occ_015,RV_01_246,2002,11
occ_016,RV_01_247,2001,299
occ_017,RV_01_248,2001,300
occ_018,RV_01_248,2013,338
occ_019,RV_01_248,2013,99
occ_020,RV_01_248,2014,154
occ_021,RV_01_248,2015,134
occ_022,RV_01_248,2016,126
occ_023,RV_01_248,2016,306
occ_024,RV_01_248,2017,162
occ_025,RV_01_248,2018,227
occ_026,RV_01_249,2006,25
occ_027,RV_01_250,2000,296
occ_028,RV_01_250,2016,42
occ_029,RV_01_251,2006,25
occ_030,RV_01_252,2002,272
occ_031,RV_01_253,2000,301
occ_032,RV_01_253,2016,32
occ_033,RV_01_254,2002,25
occ_034,RV_01_255,2001,351
occ_035,RV_01_255,2015,350
occ_036,RV_01_256,2006,11
occ_037,RV_01_257,2000,300
occ_038,RV_01_258,2003,32
occ_039,RV_01_259,2003,32
occ_040,RV_01_260,2000,302
occ_041,RV_01_260,2016,42
occ_042,RV_01_261,2007,17
occ_043,RV_01_262,2002,12
occ_044,RV_01_263,2007,18
occ_045,RV_01_264,2001,350
occ_046,RV_01_265,2006,25
occ_047,RV_01_266,2002,272
occ_048,RV_01_267,2001,356
occ_049,RV_01_267,2006,10
occ_050,RV_01_268,2001,299
occ_051,RV_01_269,2002,12
occ_052,RV_01_269,2002,292
occ_053,RV_01_270,2000,295
occ_054,RV_01_271,2001,299
occ_055,RV_01_272,2000,300
occ_056,RV_01_273,2006,11
occ_057,RV_01_274,2001,351
occ_058,RV_01_69,2014,59
occ_059,RV_02_16395,2006,52
occ_060,RV_02_2816,2006,55
occ_061,RV_02_449,2006,23
occ_062,RV_02_450,2003,54
occ_063,RV_02_450,2006,24
occ_064,RV_02_451,2003,19
occ_065,RV_02_452,2003,54
occ_066,RV_02_453,2003,18
occ_067,RV_02_453,2006,31
occ_068,RV_02_453,2007,30
occ_069,RV_02_454,2001,356
occ_070,RV_02_454,2006,10
occ_071,RV_02_455,2006,10
occ_072,RV_02_456,2009,15
occ_073,RV_02_458,2006,23
occ_074,RV_02_459,2001,350
occ_075,RV_02_460,2002,292
occ_076,RV_02_461,2001,21
occ_077,RV_02_462,2013,15
occ_078,RV_02_462,2018,53
occ_079,RV_02_463,2006,9
occ_080,RV_02_464,2006,53
occ_081,RV_02_465,2003,12
occ_082,RV_02_465,2006,5
occ_083,RV_02_466,2006,32
occ_084,RV_02_467,2006,24
occ_085,RV_02_467,2007,30
occ_086,RV_02_468,2003,12
occ_087,RV_02_469,2006,5
occ_088,RV_02_470,2002,293
occ_089,RV_02_471,2003,12
occ_090,RV_02_472,2003,53
occ_091,RV_02_473,2003,18
occ_092,RV_02_474,2003,19
occ_093,RV_02_475,2003,20
occ_094,RV_02_476,2003,54
occ_095,RV_02_477,2001,356
occ_096,RV_02_478,2001,355
occ_097,RV_02_478,2003,11
occ_098,RV_02_479,2001,356
occ_099,RV_02_480,2009,14
occ_100,RV_02_481,2009,14
occ_101,RV_02_482,2006,53
occ_102,RV_02_483,2006,53
occ_103,RV_02_484,2006,52
occ_104,RV_02_485,2006,9
occ_105,RV_02_485,2007,30
occ_106,RV_02_486,2006,53
occ_107,RV_02_487,2006,54
occ_108,RV_02_488,2006,54
occ_109,RV_02_488,2007,31
occ_110,RV_03_16273,2017,353
occ_111,RV_03_16341,2017,53
occ_112,RV_03_16342,2017,52
occ_113,RV_03_16344,2017,30
occ_114,RV_03_16352,2017,45
occ_115,RV_03_16356,2017,20
occ_116,RV_03_16358,2017,51
occ_117,RV_03_16362,2017,10
occ_118,RV_03_16363,2017,51
occ_119,RV_03_16367,2016,357
occ_120,RV_03_16372,2017,59
occ_121,RV_03_16373,2017,58
occ_122,RV_03_16381,2017,34
occ_123,RV_03_16384,2017,30
occ_124,RV_03_16385,2017,52
occ_125,RV_03_16386,2017,54
occ_126,RV_03_16785,2017,333
occ_127,RV_03_16786,2017,339
occ_128,RV_03_16788,2018,9
occ_129,RV_03_16790,2018,10
occ_130,RV_03_499,2016,13
occ_131,RV_03_508,2017,319
occ_132,RV_03_515,2018,22
occ_133,RV_03_541,2016,20
occ_134,RV_03_577,2016,356
occ_135,RV_03_578,2017,31
occ_136,RV_03_706,2018,10
occ_137,RV_03_707,2018,53
occ_138,RV_03_720,2018,52
occ_139,RV_03_779,2010,5
occ_140,RV_03_781,2010,56
occ_141,RV_03_782,2010,49
occ_142,RV_03_783,2002,293
occ_143,RV_03_784,2010,47
occ_144,RV_03_785,2002,25
occ_145,RV_03_786,2002,271
occ_146,RV_03_788,2002,306
occ_147,RV_03_789,2000,350
occ_148,RV_03_790,2000,301
occ_149,RV_03_790,2016,33
occ_150,RV_03_791,2010,6
occ_151,RV_03_792,2010,5
occ_152,RV_03_794,2002,306
occ_153,RV_03_794,2015,42
occ_154,RV_03_795,2002,271
occ_155,RV_03_795,2015,35
occ_156,RV_03_796,2006,52
occ_157,RV_03_797,2006,52
occ_158,RV_03_798,2000,349
occ_159,RV_03_799,2010,6
occ_160,RV_03_800,2000,310
occ_161,RV_03_800,2017,59
occ_162,RV_03_801,2002,306
occ_163,RV_03_802,2000,346
occ_164,RV_03_803,2010,48
occ_165,RV_03_804,2010,6
occ_166,RV_03_805,2002,46
occ_167,RV_03_806,2010,5
occ_168,RV_03_807,2010,47
occ_169,RV_03_808,2002,13
occ_170,RV_03_809,2009,15
occ_171,RV_03_810,2006,51
occ_172,RV_03_811,2006,51
occ_173,RV_03_812,2006,270
occ_174,RV_03_813,2010,6
occ_175,RV_04_2057,2010,5
occ_176,RV_04_2058,2010,13
occ_177,RV_04_2059,2012,38
occ_178,RV_04_2063,2011,348
occ_179,RV_04_2064,2002,318
occ_180,RV_04_2065,2010,13
occ_181,RV_04_2067,2002,318
occ_182,RV_04_2069,2002,318
occ_183,RV_04_2070,2002,25
occ_184,RV_04_2070,2015,35
occ_185,RV_04_2071,2010,12
occ_186,RV_05_2072,2002,351
occ_187,RV_05_2811,2012,19
occ_188,RV_05_2814,2002,351
occ_189,RV_05_2815,2012,19
occ_190,RV_05_2817,2000,330
occ_191,RV_05_2818,2001,307
occ_192,RV_05_2820,2001,14
occ_193,RV_05_2821,2003,44
occ_194,RV_05_2822,2012,20
occ_195,RV_05_2823,2002,32
occ_196,RV_05_2824,2003,32
