uocc,ind
occ_001,48.40575846
occ_002,56.78960167
occ_003,60.06336471
occ_004,21.30231856
occ_005,51.50136483
occ_006,73.91342705
occ_007,58.3137908
occ_008,89.94581202
occ_009,92.40170438
occ_010,91.27884905
occ_011,87.45988527
occ_012,81.36372407
occ_013,75.859457
occ_014,29.57689743
occ_015,45.48129425
occ_016,59.62777241
occ_017,76.95499027
occ_018,65.70754267
occ_019,91.11077576
occ_020,86.29631318
occ_021,88.57626181
occ_022,88.59997216
occ_023,62.6606097
occ_024,74.023624
occ_025,68.26142273
occ_026,82.89445381
occ_027,61.22305707
occ_028,59.00523914
occ_029,59.26432383
occ_030,40.42296826
occ_031,49.76474602
occ_032,59.14952267
occ_033,41.2623308
occ_034,33.24398631
occ_035,51.00595073
occ_036,71.73519466
occ_037,54.09631813
occ_038,44.05986625
occ_039,43.97179131
occ_040,67.97701915
occ_041,58.34030156
occ_042,67.22253946
occ_043,49.40304968
occ_044,61.90098312
occ_045,7.959539757
occ_046,56.1819875
occ_047,39.13572908
occ_048,75.84377476
occ_049,40.79021829
occ_050,39.40515885
occ_051,42.06395034
occ_052,13.04966295
occ_053,84.38491559
occ_054,65.58204996
occ_055,39.57056589
occ_056,66.58427293
occ_057,35.82247009
occ_058,66.04928612
occ_059,64.85672426
occ_060,19.1648746
occ_061,54.47330929
occ_062,59.3333528
occ_063,60.27244251
occ_064,62.97445518
occ_065,88.09163403
occ_066,11.36662943
occ_067,28.94570152
occ_068,13.72630263
occ_069,2.606334842
occ_070,21.30316742
occ_071,37.24052269
occ_072,28.30526975
occ_073,52.60577864
occ_074,40.32698009
occ_075,28.63642641
occ_076,36.18121568
occ_077,31.28580866
occ_078,57.56748053
occ_079,61.24422916
occ_080,78.05949926
occ_081,61.40288589
occ_082,45.32071118
occ_083,37.8713519
occ_084,58.82764087
occ_085,65.28544823
occ_086,95.29411765
occ_087,47.35516702
occ_088,21.40557577
occ_089,23.38461538
occ_090,59.74144789
occ_091,39.78409013
occ_092,28.41827777
occ_093,70.01391247
occ_094,69.33995164
occ_095,39.5089979
occ_096,17.37492276
occ_097,15.68523435
occ_098,17.79345819
occ_099,87.54387429
occ_100,38.29442279
occ_101,68.67578259
occ_102,52.40224285
occ_103,64.71509254
occ_104,70.31432658
occ_105,48.96170334
occ_106,64.7579579
occ_107,61.97159851
occ_108,54.08507377
occ_109,53.21530104
occ_110,50.81784243
occ_111,24.82360034
occ_112,61.38121511
occ_113,51.26614965
occ_114,50.64653349
occ_115,46.55088575
occ_116,56.82317428
occ_117,57.49360344
occ_118,57.191145
occ_119,41.01950851
occ_120,39.7006652
occ_121,54.39449685
occ_122,47.68899653
occ_123,74.54000921
occ_124,43.97766711
occ_125,42.07408364
occ_126,61.78012527
occ_127,48.42586414
occ_128,47.77673042
occ_129,50.77626614
occ_130,9.027777778
occ_131,45.35126731
occ_132,23.16919192
occ_133,31.3394028
occ_134,46.92034855
occ_135,23.59373721
occ_136,58.79397723
occ_137,48.99990055
occ_138,39.80297684
occ_139,51.92748588
occ_140,32.9623234
occ_141,69.61415425
occ_142,41.26910514
occ_143,51.53151873
occ_144,60.64247252
occ_145,40.62862734
occ_146,50.44781544
occ_147,54.53384568
occ_148,62.69314943
occ_149,55.01643652
occ_150,39.82505602
occ_151,57.00087024
occ_152,55.74723264
occ_153,42.3857298
occ_154,48.70767002
occ_155,22.19190815
occ_156,76.25776704
occ_157,57.39230932
occ_158,19.69391021
occ_159,50.05056148
occ_160,82.82458457
occ_161,64.18793327
occ_162,58.03908669
occ_163,24.86715375
occ_164,25.41172165
occ_165,37.2401419
occ_166,24.14130218
occ_167,51.13261575
occ_168,32.83735265
occ_169,52.82857417
occ_170,38.13547034
occ_171,46.92043107
occ_172,56.19704484
occ_173,47.21446805
occ_174,70.47532635
occ_175,67.7457657
occ_176,38.51579928
occ_177,21.08254116
occ_178,38.33069161
occ_179,31.8935428
occ_180,55.54144727
occ_181,18.87626263
occ_182,9.027777778
occ_183,26.67700148
occ_184,30.46140456
occ_185,45.96925353
occ_186,12.32072299
occ_187,55.72914647
occ_188,10.44199955
occ_189,50.01240303
occ_190,46.20716445
occ_191,44.91509277
occ_192,26.89780771
occ_193,15.05500007
occ_194,35.04902294
occ_195,59.20326626
occ_196,30.90462326
occ_197,11.16803876
occ_198,23.89338256
occ_199,8.614793043
occ_200,87.97270252
occ_201,35.03796133
occ_202,40.00352499
occ_203,7.219440293
occ_204,21.38258883
occ_205,62.15809601
occ_206,86.58117985
occ_207,60.17642145
occ_208,21.09421243
occ_209,54.40447859
occ_210,79.64925011
occ_211,93.5837835
occ_212,71.2844245
occ_213,77.13851562
occ_214,50.18088072
occ_215,52.97681701
occ_216,64.57062087
occ_217,36.49970081
occ_218,53.04349027
occ_219,60.40910521
occ_220,45.61730401
occ_221,60.83467729
occ_222,46.38429652
occ_223,85.00794168
occ_224,67.99969006
occ_225,80.67246984
occ_226,53.8849144
occ_227,44.31099062
occ_228,74.04409056
occ_229,43.64230819
occ_230,55.67708062
occ_231,48.57786867
occ_232,58.88469986
occ_233,48.92161094
occ_234,47.04368236
occ_235,50.50480195
occ_236,55.47399408
occ_237,62.57536708
occ_238,64.11142499
occ_239,56.57661641
occ_240,53.45821306
occ_241,68.94650143
occ_242,49.1664156
occ_243,45.93832905
occ_244,64.88349801
occ_245,65.00069999
occ_246,48.59705958
occ_247,73.46892173
occ_248,76.96356381
occ_249,69.14783919
occ_250,66.02218967
occ_251,66.92713797
occ_252,63.23725946
occ_253,14.77306029
occ_254,81.57018191
occ_255,62.56587889
occ_256,64.49210575
occ_257,64.5339597
occ_258,63.99660366
occ_259,71.57537861
occ_260,57.97974175
occ_261,72.86654609
occ_262,55.2032082
occ_263,60.51208582
occ_264,56.82145873
occ_265,54.59343099
occ_266,62.68088675
occ_267,60.23455041
occ_268,88.55820859
occ_269,89.1667803
occ_270,11.9856927
occ_271,45.58473385
occ_272,43.94687319
occ_273,45.59041677
occ_274,20.12853113
occ_275,25.10327966
occ_276,47.28859535
occ_277,45.56890529
occ_278,17.63192589
occ_279,14.52538779
occ_280,72.96840281
occ_281,55.90389397
occ_282,21.34544503
occ_283,55.56454499
occ_284,36.1559727
occ_285,38.55868594
occ_286,59.00183081
occ_287,21.65426163
occ_288,32.81414125
occ_289,11.04403528
occ_290,59.66107688
occ_291,67.15916232
occ_292,33.48656594
occ_293,26.40943469
occ_294,57.47067729
occ_295,90.0471471
occ_296,82.60231886
occ_297,20.23288738
occ_298,46.40485823
occ_299,25.92032516
occ_300,80.23751759
occ_301,26.90878792
occ_302,19.02628658
occ_303,30.11150842
occ_304,71.1784718
occ_305,56.26086399
occ_306,39.68412177
occ_307,37.79749662
occ_308,60.61473913
occ_309,45.26567618
occ_310,65.85409025
occ_311,37.94561858
occ_312,48.7999414
occ_313,35.11760027
occ_314,48.86380077
occ_315,69.54882704
occ_316,48.97857875
occ_317,66.89945414
occ_318,27.81003539
occ_319,25.50803134
occ_320,42.25252865
occ_321,22.73280136
occ_322,36.71975426
occ_323,25.61167854
occ_324,52.76767962
occ_325,14.56281798
occ_326,46.31120346
occ_327,18.12130138
occ_328,40.88940677
occ_329,32.19339225
occ_330,38.53489084
occ_331,40.90327826
occ_332,31.96896771
occ_333,40.4040404
occ_334,13.41421251
occ_335,48.04586227
occ_336,15.25568316
occ_337,64.31347312
occ_338,57.07922608
occ_339,23.86363636
occ_340,50.85133031
occ_341,16.12897818
occ_342,31.72460715
occ_343,18.4393064
occ_344,24.43555184
occ_345,47.32000882
occ_346,37.5483575
occ_347,55.15156291
occ_348,15.66161407
occ_349,42.01696449
occ_350,44.08206402
occ_351,45.34014839
occ_352,42.99674125
occ_353,20.13698373
occ_354,11.57699099
occ_355,31.52803866
occ_356,16.14177195
occ_357,22.98318921
occ_358,45.34895661
occ_359,38.7302097
occ_360,66.022773
occ_361,62.5958845
occ_362,20.59666935
occ_363,22.7350791
occ_364,19.24898383
occ_365,52.27479181
occ_366,39.05388351
occ_367,50.19157548
occ_368,32.46619785
occ_369,30.69000884
occ_370,54.87591733
occ_371,35.12598612
occ_372,62.48220033
occ_373,61.09301771
occ_374,31.2928213
occ_375,25.27727749
occ_376,41.91099125
occ_377,22.18810533
occ_378,16.02849292
occ_379,10.01762758
occ_380,15.60833439
occ_381,39.570653
occ_382,11.25695167
occ_383,5.359299906
occ_384,17.37691
occ_385,58.84854705
occ_386,25.2457022
occ_387,60.24807758
occ_388,48.02045859
occ_389,76.33588413
occ_390,68.74143249
occ_391,38.44579429
occ_392,56.89088207
occ_393,59.41153889
occ_394,59.20600748
occ_395,41.10058597
occ_396,54.28063919
occ_397,57.2027032
occ_398,25.87522861
occ_399,44.1796264
occ_400,48.71309547
occ_401,59.59760797
occ_402,54.97897288
occ_403,30.39262528
occ_404,59.74581229
occ_405,72.82961608
occ_406,69.3755277
occ_407,66.16120536
occ_408,59.5640913
occ_409,49.28723094
occ_410,53.02517481
occ_411,36.66391697
occ_412,39.64448046
occ_413,36.4096914
occ_414,31.22044909
occ_415,27.86371463
occ_416,53.72029484
occ_417,72.07207869
occ_418,40.81907423
occ_419,51.51336095
occ_420,61.06734026
occ_421,65.24013711
occ_422,43.06066993
occ_423,64.89022263
