"ni","res","water"
50,2369.1,"soft"
50,4073.4,"soft"
50,3337.4,"soft"
125,0,"soft"
125,2946.1,"soft"
125,0,"soft"
250,7304.7,"soft"
250,423.5,"soft"
250,7697.7,"soft"
500,9687.2,"soft"
500,3954.9,"soft"
500,10436.2,"soft"
1000,12754.7,"soft"
1000,8621,"soft"
1000,12798.3,"soft"
2500,21691.3,"soft"
2500,26560.2,"soft"
2500,28592,"soft"
5000,42758.4,"soft"
5000,39906.7,"soft"
5000,41662.5,"soft"
7000,52517.8,"soft"
7000,39587.5,"soft"
7000,39691.3,"soft"
10000,52003.2,"soft"
10000,43990.1,"soft"
10000,53712.2,"soft"
12000,52372.1,"soft"
12000,53318.9,"soft"
12000,53612.3,"soft"
15000,56270.8,"soft"
15000,51974,"soft"
15000,58268.2,"soft"
50,3481.2,"hard"
50,0,"hard"
50,8303.3,"hard"
125,1283.2,"hard"
125,5457.6,"hard"
125,3759,"hard"
250,3928.7,"hard"
250,1074.8,"hard"
250,2895.8,"hard"
500,3221.6,"hard"
500,2429.7,"hard"
500,3491.2,"hard"
1000,8480.6,"hard"
1000,10912.1,"hard"
1000,5581.5,"hard"
2500,16165.7,"hard"
2500,14091,"hard"
2500,17029.2,"hard"
5000,15397.8,"hard"
5000,18344.2,"hard"
5000,16178.5,"hard"
7000,18412.5,"hard"
7000,22465.6,"hard"
7000,20946.9,"hard"
10000,24644.8,"hard"
10000,17091.7,"hard"
10000,18749.4,"hard"
12000,22250.2,"hard"
12000,22095.8,"hard"
12000,22612.3,"hard"
15000,24072.2,"hard"
15000,21280.9,"hard"
15000,20280.8,"hard"
