"loc","lat","long","basin","huc12","state","county","ecoregion3","ecoregion4","eco4","gridcode","catchkm2","fid","bfi","elev","roaddens","storder","flow","slope","huc08","fish.rich"
"RV_01_245",33.757913,-82.383578,"Savannah (01)","030601050404","Georgia","Lincoln","Piedmont","45c","Carolina Slate Belt",2334283,11.079,6290073,45,131.550859463851,1.28731381212835,1,-0.870257645103257,0.00537457,"03060105",21
"RV_01_247",35.012123,-83.20666,"Savannah (01)","030601020202","North Carolina","Macon (NC)","Blue Ridge","66d","Southern Crystaline Ridges and Mountains",2328181,2.3454,6265866,65.224865694551,833.302613200307,5.24351629455104,2,-0.390106346124866,0.00857069,"03060102",51
"RV_01_248",34.952033,-83.516598,"Savannah (01)","030601020101","Georgia","Rabun","Blue Ridge","66d","Southern Crystaline Ridges and Mountains",2328304,7.5924,6267678,64.1307491702229,864.768437648174,0.948398365587957,2,-0.103989148203188,0.03362088,"03060102",51
"RV_01_250",34.664911,-83.369779,"Savannah (01)","030601020401","Georgia","Habersham","Blue Ridge","66d","Southern Crystaline Ridges and Mountains",2328693,0.6165,6268660,66.5532846715329,286.875868613139,0.840220790188321,3,-0.0798596914567038,0.00001,"03060102",51
"RV_01_253",33.841068,-82.95028,"Savannah (01)","030601040504","Georgia","Oglethorpe","Piedmont","45c","Carolina Slate Belt",2333414,2.5614,6279993,51,161.57052002811,3.12470691101897,1,-1.41697913497215,0.01117025,"03060104",35
"RV_01_255",33.753558,-82.548275,"Savannah (01)","030601030706","Georgia","Lincoln","Piedmont","45c","Carolina Slate Belt",2330062,7.8687,11738867,44.6906096305616,157.536629303443,1.54581651603569,1,-1.00252499711242,0.00589217,"03060103",48
"RV_01_257",33.664353,-82.553397,"Savannah (01)","030601050206","Georgia","Wilkes","Piedmont","45c","Carolina Slate Belt",2334022,1.9629,6289613,46,123.265850527281,1.51630351522696,2,-0.389261708399906,0.00333131,"03060105",21
"RV_01_260",34.504091,-83.436877,"Savannah (01)","030601040101","Georgia","Stephens","Piedmont","45a","Southern Inner Piedmont",2331749,0.3204,6276021,64.0814606741573,295.012752808989,1.17913638059551,3,-0.0390223005277346,0.00967327,"03060104",35
"RV_01_264",33.439711,-82.027778,"Savannah (01)","030601060607","Georgia","Richmond","Southeastern Plains","65c","Sand Hills",2335137,5.0184,22725235,64.3299856527977,67.7144583931134,10.4780314445481,2,-0.481406287815834,0.00161003,"03060106",83
"RV_01_267",32.055292,-81.119148,"Savannah (01)","030601090307","Georgia","Chatham","Southern Coastal Plain","75f","Sea Island Flatwoods",2339377,7.1694,20106353,43,6.1819244288225,12.4119787909365,1,-1.12274777543911,0.00065052,"03060109",61
"RV_01_268",34.838698,-83.417041,"Savannah (01)","030601020207","Georgia","Rabun","Blue Ridge","66d","Southern Crystaline Ridges and Mountains",2328278,6.7824,6268098,68,582.361802016985,4.00395834664278,3,0.301402155083532,0.01761545,"03060102",51
"RV_01_270",34.910692,-83.540074,"Savannah (01)","030601020103","Georgia","Rabun","Blue Ridge","66d","Southern Crystaline Ridges and Mountains",2328440,3.8583,6267738,65.6573361324936,677.102269652438,1.18565064818521,3,0.503015219375,0.0055764,"03060102",51
"RV_01_271",34.839465,-83.441461,"Savannah (01)","030601020107","Georgia","Rabun","Blue Ridge","66d","Southern Crystaline Ridges and Mountains",2328689,12.4587,6268166,68.019793397385,625.710182763852,3.70958068554504,1,-0.190516510263868,0.00541146,"03060102",51
"RV_01_272",33.673119,-82.685085,"Savannah (01)","030601050204","Georgia","Wilkes","Piedmont","45c","Carolina Slate Belt",2333823,3.2103,6289537,44.0257919820578,142.340532660499,1.1977808828231,2,-0.360040471927777,0.00226723,"03060105",21
"RV_01_274",33.68051,-82.611711,"Savannah (01)","030601050205","Georgia","Wilkes","Piedmont","45c","Carolina Slate Belt",2333943,5.9571,6289569,44.8498262577429,128.263630457773,1.23556480907086,3,-0.108907491299523,0.00102504,"03060105",21
"RV_02_454",32.000632,-81.086275,"Ogeechee (02)","030602040302","Georgia","Chatham","Southern Coastal Plain","75j","Sea Islands/Coastal Marsh",2348371,2.5263,6313579,42.4100463127895,4.18918061987887,7.30411847566797,2,-0.499203368878278,0.00003956,"03060204",30
"RV_02_459",33.221153,-82.541501,"Ogeechee (02)","030602010305","Georgia","Glascock","Southeastern Plains","65c","Sand Hills",2340525,11.2599,9957700,50.96882743186,135.756032291583,1.60061611513868,1,-0.88529241700373,0.00794583,"03060201",48
"RV_02_461",32.933915,-81.992648,"Ogeechee (02)","030602010608","Georgia","Burke","Southeastern Plains","65l","Atlantic Southern Loam Plains",2340585,3.7971,9960252,65,73.9513534012799,1.42001514291775,3,-0.506523661897502,0.00273184,"03060201",48
"RV_02_477",31.983903,-81.128176,"Ogeechee (02)","030602040303","Georgia","Chatham","Southern Coastal Plain","75j","Sea Islands/Coastal Marsh",2348456,0.5463,6315595,40,5.36495881383855,9.82319585573311,1,-2.19192996938464,0.00001,"03060204",30
"RV_02_478",31.993588,-81.255303,"Ogeechee (02)","030602040203","Georgia","Chatham","Southern Coastal Plain","75j","Sea Islands/Coastal Marsh",2347508,1.2339,6315585,37,3.90290299051787,3.46087029630926,2,-1.68761782000677,0.00062111,"03060204",30
"RV_02_479",32.035584,-81.05997,"Ogeechee (02)","030602040101","Georgia","Chatham","Southern Coastal Plain","75j","Sea Islands/Coastal Marsh",2347992,6.696,166741899,43.067876344086,4.72910349462366,8.7571381833673,1,-1.13532730603339,0.00033898,"03060204",30
"RV_03_789",32.698291,-83.12168,"Oconee (03)","030701020703","Georgia","Wilkinson","Southeastern Plains","65k","Coastal Plain Red Uplands",2460912,1.7829,1948289,48,87.7310196870267,1.90973327786976,3,-0.0509570288376754,0.000245,"03070102",60
"RV_03_790",33.434742,-83.041952,"Oconee (03)","030701011203","Georgia","Hancock","Piedmont","45b","Southern Outer Piedmont",2455991,2.6424,1055389,46.1764305177112,168.269921662125,1.59616762777248,2,-0.637811865513254,0.0054716,"03070101",56
"RV_03_798",32.712058,-83.140005,"Oconee (03)","030701020702","Georgia","Wilkinson","Southeastern Plains","65k","Coastal Plain Red Uplands",2461133,1.917,1948249,48,89.4467370892019,1.64984906114554,2,-0.36066077188403,0.0022235,"03070102",60
"RV_03_800",33.243706,-83.524379,"Oconee (03)","030701011607","Georgia","Putnam","Piedmont","45b","Southern Outer Piedmont",2453448,2.3697,1056637,48,163.530854538549,0.804693845123433,2,-0.820495905719858,0.00592872,"03070101",56
"RV_03_802",32.744274,-83.223374,"Oconee (03)","030701020605","Georgia","Wilkinson","Southeastern Plains","65k","Coastal Plain Red Uplands",2460906,1.8477,1948165,48,89.2401753531418,1.5750400884754,3,-0.00114181383626126,0.00126823,"03070102",60
"RV_05_2817",32.501896,-83.487385,"Lower Ocmulgee (05)","030701040107","Georgia","Twiggs","Southeastern Plains","65k","Coastal Plain Red Uplands",2452330,4.8807,6361644,49,93.1102839756592,1.91494032568689,2,-0.517356104611816,0.00215058,"03070104",61
"RV_05_2818",32.714716,-83.845968,"Lower Ocmulgee (05)","030701031505","Georgia","Crawford","Southeastern Plains","65c","Sand Hills",2464938,5.3487,6341076,50,123.682279993269,2.03860665042908,3,-0.139359750114985,0.00196779,"03070103",52
"RV_05_2820",31.895105,-82.744992,"Lower Ocmulgee (05)","030701040806","Georgia","Telfair","Southeastern Plains","65l","Atlantic Southern Loam Plains",2450908,25.0821,6366968,36.0008970540744,52.6018059492626,1.5449142244979,1,-0.461062355268312,0.00281274,"03070104",61
"RV_05_2825",32.404396,-83.650761,"Lower Ocmulgee (05)","030701040204","Georgia","Houston","Southeastern Plains","65k","Coastal Plain Red Uplands",2452081,0.8397,6363706,51,84.586602357985,4.13238946482315,3,-0.233603984802104,0.00069039,"03070104",61
"RV_05_2826",31.877,-82.779645,"Lower Ocmulgee (05)","030701040806","Georgia","Telfair","Southeastern Plains","65l","Atlantic Southern Loam Plains",2451316,26.1252,6366660,36.8595838500758,51.1462980570484,0.954690943286379,2,-0.3696696978002,0.00193305,"03070104",61
"RV_05_2828",33.112257,-83.950842,"Lower Ocmulgee (05)","030701031203","Georgia","Monroe","Piedmont","45b","Southern Outer Piedmont",2465237,0.3042,6335796,44,150.112573964497,1.99956949363905,3,0.00979191506370103,0.00001,"03070103",52
"RV_06_2936",32.79347,-82.734545,"Altamaha (06)","030701070103","Georgia","Washington","Southeastern Plains","65k","Coastal Plain Red Uplands",2467548,5.5215,14451947,50.8697636511817,107.53611409943,1.4865505422548,2,-0.433411559371903,0.00217804,"03070107",35
"RV_07_3096",31.718912,-82.081727,"Satilla (07)","030702020401","Georgia","Wayne","Southern Coastal Plain","75h","Bacon Terraces",2471716,11.9421,9911863,31.1798176200166,50.8256349385786,1.18531908238752,2,-0.504043659476513,0.00138896,"03070202",22
"RV_07_3100",31.339228,-82.138511,"Satilla (07)","030702020501","Georgia","Pierce","Southern Coastal Plain","75h","Bacon Terraces",2472237,8.2665,9915033,30,33.3121622210125,2.18550955978225,2,-0.374652984689581,0.0027263,"03070202",22
"RV_07_3105",30.930164,-81.610678,"Satilla (07)","030702030402","Georgia","Camden","Southern Coastal Plain","75j","Sea Islands/Coastal Marsh",2471735,22.9581,6399545,30.0023521110196,5.48260221882473,1.5060328817829,1,-0.552627817500358,0.00006028,"03070203",25
"RV_07_3110",31.351565,-82.287697,"Satilla (07)","030702011003","Georgia","Pierce","Southern Coastal Plain","75h","Bacon Terraces",2470235,21.5271,6397777,31,39.6583460847025,2.00159974111794,1,-0.564194266291602,0.00283571,"03070201",46
"RV_07_3111",31.540496,-82.674292,"Satilla (07)","030702010601","Georgia","Coffee","Southern Coastal Plain","75h","Bacon Terraces",2470535,3.5091,6390615,33.6309310079508,57.4724955116697,1.04063910764042,2,-0.714298829684895,0.00201941,"03070201",46
