organism,multicellular,heterotrophic,flowering,vertebrate,gills,amnion,endothermic,tetrapod,dna,opisthokont,protostome,deuterostome
bacteria,0,0.5,0,0,0,0,0,0,1,0,0,0
maple,1,0,1,0,0,0,0,0,1,0,0,0
pine,1,0,0,0,0,0,0,0,1,0,0,0
octopus,1,1,0,0,1,0,0,0,1,1,1,0
shark,1,1,0,1,1,0,0,0,1,1,0,1
mushroom,1,1,0,0,0,0,0,0,1,1,0,0
frog,1,1,0,1,0,0,0,1,1,1,0,1
elephant,1,1,0,1,1,1,1,1,1,1,0,1
penguin,1,1,0,1,1,1,1,1,1,1,0,1
snail,1,1,0,0,1,0,0,0,1,1,1,0
perch,1,1,0,1,1,0,0,0,1,1,0,1
crab,1,1,0,0,1,0,0,0,1,1,1,0
snake,1,1,0,1,0,1,0,1,1,1,0,1
duck,1,1,0,1,0,1,1,1,1,1,0,1
beaver,1,1,0,1,0,1,1,1,1,1,0,1
deer,1,1,0,1,0,1,1,1,1,1,0,1
alligator,1,1,0,1,0,1,0,1,1,1,0,1
ant,1,1,0,0,0,0,0,0,1,1,1,0
ivy,1,0,1,0,0,0,0,0,1,0,0,1
lichen,1,1,0,0,0,0,0,0,1,0,0,0
trex,1,1,0,1,0,1,1,1,1,1,0,1
fern,1,0,0,0,0,0,0,0,1,0,0,0
owl,1,1,0,1,0,1,1,1,1,1,0,1
human,1,1,0,1,0,1,1,1,1,1,0,1
spider,1,1,0,0,0,0,0,0,1,1,1,0
earthworm,1,1,0,0,0,0,0,0,1,1,1,0
yeast,0,1,0,0,0,0,0,0,1,0,0,0
nematode,1,1,0,0,0,0,0,0,1,1,1,0
starfish,1,1,0,0,1,0,0,0,1,1,0,1
salamander,1,1,0,1,0.5,0,0,1,1,1,0,1
