"group1","group2","order","spp","agr","bm"
"birds","altricial birds","apodiformes","Amazilia fimbriata",0.256,2
"birds","altricial birds","apodiformes","Amazilia tobaci",0.349,2.1
"birds","altricial birds","apodiformes","Amazilia tzacatl",0.505,2.625
"birds","altricial birds","apodiformes","Apus apus",3.34,18.762
"birds","altricial birds","apodiformes","Apus pacificus",3.024,32
"birds","altricial birds","apodiformes","Calliphlox evelynae",0.337,1.65
"birds","altricial birds","apodiformes","Chaetura brachyura",1.671,10.25
"birds","altricial birds","apodiformes","Chaetura pelagica",2.07,12
"birds","altricial birds","apodiformes","Chaetura vauxi",2.1,10.5
"birds","altricial birds","apodiformes","Chlorostilbon mellisugus",0.195,1.4
"birds","altricial birds","apodiformes","Colibri coruscans",0.578,3.85
"birds","altricial birds","apodiformes","Collocalia esculenta",0.662,4.73
"birds","altricial birds","apodiformes","Collocalia fuciphaga",0.861,6.15
"birds","altricial birds","apodiformes","Collocalia leucophaea",0.346,4.65
"birds","altricial birds","apodiformes","Cypseloides cherriei",0.945,10.5
"birds","altricial birds","apodiformes","Cypseloides cryptus",1.698,17.5
"birds","altricial birds","apodiformes","Cypsiurus parvus",0.858,5.36
"birds","altricial birds","apodiformes","Lampornis clemenciae bessophilus*",0.867,3.75
"birds","altricial birds","apodiformes","Oxypogon guerinii",0.317,2.725
"birds","altricial birds","apodiformes","Phaethornis ruber",0.317,1.35
"birds","altricial birds","apodiformes","Selasphorus rufus",0.336,1.768
"birds","altricial birds","apodiformes","Streptoprocne rutila",1.516,12.5
"birds","altricial birds","apodiformes","Tachymarptis melba",6.038,48.5
"birds","altricial birds","caprimulgiformes","Steatornis caripensis",14.072,290.367
"birds","altricial birds","ciconiiformes","Ardea cinerea",66.416,655.684
"birds","altricial birds","ciconiiformes","Ardea herodias",68.913,883.5
"birds","altricial birds","ciconiiformes","Ardea purpurea",42.085,356.65
"birds","altricial birds","ciconiiformes","Botaurus stellaris",46.8,399.834
"birds","altricial birds","ciconiiformes","Bubulcus ibis",16.582,151.25
"birds","altricial birds","ciconiiformes","Butorides virescens",10.448,73.576
"birds","altricial birds","ciconiiformes","Ciconia abdimii",45.9,600
"birds","altricial birds","ciconiiformes","Ciconia ciconia",125.375,1475
"birds","altricial birds","ciconiiformes","Ciconia maguari",120.299,1295.394
"birds","altricial birds","ciconiiformes","Egretta caerulea",19.35,150
"birds","altricial birds","ciconiiformes","Egretta garzetta",28.599,169.225
"birds","altricial birds","ciconiiformes","Eudocimus albus",24.355,383.453
"birds","altricial birds","ciconiiformes","Geronticus eremita",60.944,472.318
"birds","altricial birds","ciconiiformes","Leptoptilos crumeniferus",101.167,2023.337
"birds","altricial birds","ciconiiformes","Mycteria americana",78.174,919.699
"birds","altricial birds","ciconiiformes","Platalea leucorodia",71.775,825
"birds","altricial birds","ciconiiformes","Scopus umbretta",20.563,235
"birds","altricial birds","coliiformes","Urocolius macrourus",3.819,17.05
"birds","altricial birds","columbiformes","Columba guinea",17.259,135.9
"birds","altricial birds","columbiformes","Columba livia",22.278,137.681
"birds","altricial birds","columbiformes","Columba oenas",23.256,145.35
"birds","altricial birds","columbiformes","Columba palumbus",24.126,122.927
"birds","altricial birds","columbiformes","Columbina passerina",2.976,11.95
"birds","altricial birds","columbiformes","Columbina talpacoti",3.22,14
"birds","altricial birds","columbiformes","Geopelia cuneata",1.203,18.65
"birds","altricial birds","columbiformes","Oena capensis",1.175,17.4
"birds","altricial birds","columbiformes","Ptilinopus superbus",5.883,16.25
"birds","altricial birds","columbiformes","Streptopelia decaocto",11.173,49.222
"birds","altricial birds","coraciiformes","Coracias caudatus",4.669,37.5
"birds","altricial birds","coraciiformes","Merops viridis",2.733,18.85
"birds","altricial birds","cuculiformes","Carpococcyx renauldi",12,200
"birds","altricial birds","cuculiformes","Centropus senegalensis",12.488,67.5
"birds","altricial birds","cuculiformes","Chrysococcyx basalis",2.24,10.925
"birds","altricial birds","cuculiformes","Chrysococcyx caprius",3.394,18.1
"birds","altricial birds","cuculiformes","Chrysococcyx lucidus",1.947,11.125
"birds","altricial birds","cuculiformes","Clamator glandarius",11.261,70.125
"birds","altricial birds","cuculiformes","Crotophaga ani",5.897,17.95
"birds","altricial birds","falconiformes","Accipiter cooperii",19.753,187.333
"birds","altricial birds","falconiformes","Accipiter fasciatus",23.074,221.516
"birds","altricial birds","falconiformes","Accipiter gentilis",57.122,508
"birds","altricial birds","falconiformes","Accipiter minullus",6.481,42.5
"birds","altricial birds","falconiformes","Accipiter nisus",13.596,106.625
"birds","altricial birds","falconiformes","Aquila chrysaetos",113.241,1670.942
"birds","altricial birds","falconiformes","Aquila rapax",60.45,1300
"birds","altricial birds","falconiformes","Aquila verreauxii",77.524,1649.44
"birds","altricial birds","falconiformes","Aquila wahlbergi",26.303,404.667
"birds","altricial birds","falconiformes","Buteo buteo",43.092,456
"birds","altricial birds","falconiformes","Buteo jamaicensis",48.595,523.75
"birds","altricial birds","falconiformes","Buteo oreophilus",26.495,298.775
"birds","altricial birds","falconiformes","Buteo platypterus",19.637,145.5
"birds","altricial birds","falconiformes","Buteo regalis",52.283,611.5
"birds","altricial birds","falconiformes","Buteo swainsoni",28.045,355
"birds","altricial birds","falconiformes","Cathartes aura",46.211,733.5
"birds","altricial birds","falconiformes","Circaetus cinereus",19.425,1050
"birds","altricial birds","falconiformes","Circus cyaneus",27.263,221.6
"birds","altricial birds","falconiformes","Circus ranivorus",31.343,220.728
"birds","altricial birds","falconiformes","Coragyps atratus",45.462,851.296
"birds","altricial birds","falconiformes","Falco cenchroides",13.5,100
"birds","altricial birds","falconiformes","Falco chicquera",12.738,112.75
"birds","altricial birds","falconiformes","Falco columbarius",13.919,105.075
"birds","altricial birds","falconiformes","Falco peregrinus",42.398,435.5
"birds","altricial birds","falconiformes","Falco sparverius",9.623,66.145
"birds","altricial birds","falconiformes","Falco subbuteo",15.334,120.167
"birds","altricial birds","falconiformes","Falco tinnunculus",18.486,125.25
"birds","altricial birds","falconiformes","Gyps africanus",69.1,2700.018
"birds","altricial birds","falconiformes","Gyps coprotheres",122.49,4149.667
"birds","altricial birds","falconiformes","Haliaeetus albicilla",155.562,1911.82
"birds","altricial birds","falconiformes","Haliaeetus leucocephalus",112.436,1904.323
"birds","altricial birds","falconiformes","Haliaeetus vocifer",89.58,1006.518
"birds","altricial birds","falconiformes","Hieraaetus fasciatus*",46.2,600
"birds","altricial birds","falconiformes","Ictinia mississippiensis",11.83,140
"birds","altricial birds","falconiformes","Lophaetus occipitalis",44.213,675
"birds","altricial birds","falconiformes","Milvus migrans",40.938,410.653
"birds","altricial birds","falconiformes","Necrosyrtes monachus",35.51,1060
"birds","altricial birds","falconiformes","Neophron percnopterus",52,800
"birds","altricial birds","falconiformes","Pandion haliaetus",67.38,786.05
"birds","altricial birds","falconiformes","Sagittarius serpentarius",77.479,1597.5
"birds","altricial birds","falconiformes","Sarcoramphus papa",50.934,1306
"birds","altricial birds","falconiformes","Stephanoaetus coronatus",25.813,1475
"birds","altricial birds","falconiformes","Terathopius ecaudatus",34.125,1050
